op,elapsedTime,diskIOBytes
StoreSetObject,19625,773
StoreSetObject,18916,777
StoreSetObject,24625,865
StoreSetObject,23250,863
StoreSetObject,13750,445
StoreSetObject,199292,8702
StoreDeleteObject,3459,0
StoreDeleteObject,3167,0
StoreDeleteObject,3291,0
StoreDeleteObject,3292,0
StoreDeleteObject,3333,0
StoreDeleteObject,3166,0
StoreDeleteObject,3250,0
StoreDeleteObject,3250,0
StoreDeleteObject,3167,0
StoreDeleteObject,3209,0
StoreDeleteObject,3250,0
StoreDeleteObject,3458,0
StoreDeleteObject,3083,0
StoreDeleteObject,3209,0
StoreDeleteObject,3042,0
StoreDeleteObject,2916,0
StoreDeleteObject,2958,0
StoreDeleteObject,3083,0
StoreDeleteObject,2750,0
StoreDeleteObject,2958,0
StoreSetPackageRealm,8667,77
StoreSetObject,27459,869
StoreSetObject,15208,1381
StoreSetObject,17125,652
StoreSetObject,23250,869
StoreSetObject,25667,869
StoreSetObject,20875,869
StoreSetObject,22250,867
StoreSetObject,21875,866
StoreSetObject,18084,1380
StoreSetObject,12875,1381
StoreSetObject,12709,1381
StoreSetObject,15541,1381
StoreSetObject,13500,1381
StoreSetObject,12375,1381
StoreSetObject,14875,1381
StoreSetObject,13791,1381
StoreSetObject,15167,1381
StoreSetObject,13292,1381
StoreSetObject,12458,1381
StoreSetObject,19083,1381
StoreSetObject,12500,1381
StoreSetObject,12250,1381
StoreSetObject,15334,1381
StoreSetObject,12000,1381
StoreSetObject,12708,1381
StoreSetObject,62500,2978
StoreSetObject,14459,447
StoreSetObject,80500,3629
StoreSetObject,14000,440
StoreSetObject,14625,483
StoreSetObject,22708,773
StoreSetObject,13333,437
StoreSetObject,19792,773
StoreSetObject,19375,777
StoreSetObject,22708,865
StoreSetObject,25833,863
StoreSetObject,13500,445
StoreSetObject,207666,8702
StoreDeleteObject,3208,0
StoreDeleteObject,3000,0
StoreDeleteObject,2834,0
StoreDeleteObject,3167,0
StoreDeleteObject,3375,0
StoreDeleteObject,3083,0
StoreDeleteObject,3000,0
StoreDeleteObject,2958,0
StoreDeleteObject,3125,0
StoreDeleteObject,2708,0
StoreDeleteObject,2834,0
StoreDeleteObject,2958,0
StoreDeleteObject,2917,0
StoreDeleteObject,2875,0
StoreDeleteObject,2875,0
StoreDeleteObject,3041,0
StoreDeleteObject,3041,0
StoreDeleteObject,2917,0
StoreDeleteObject,2875,0
StoreDeleteObject,2958,0
StoreDeleteObject,3000,0
StoreSetPackageRealm,6583,77
StoreSetObject,19791,1381
StoreSetObject,17584,652
StoreSetObject,22333,869
StoreSetObject,22917,869
StoreSetObject,25375,869
StoreSetObject,21792,869
StoreSetObject,20416,867
StoreSetObject,22916,866
StoreSetObject,17375,1380
StoreSetObject,13042,1381
StoreSetObject,13750,1381
StoreSetObject,15791,1381
StoreSetObject,13333,1381
StoreSetObject,11792,1381
StoreSetObject,17125,1381
StoreSetObject,12459,1381
StoreSetObject,12625,1381
StoreSetObject,16125,1381
StoreSetObject,12458,1381
StoreSetObject,12959,1381
StoreSetObject,15458,1381
StoreSetObject,14875,1381
StoreSetObject,16208,1381
StoreSetObject,12959,1381
StoreSetObject,12708,1381
StoreSetObject,18458,1381
StoreSetObject,61792,3153
StoreSetObject,17166,447
StoreSetObject,87250,3845
StoreSetObject,17208,440
StoreSetObject,14292,483
StoreSetObject,19791,773
StoreSetObject,13000,437
StoreSetObject,20333,773
StoreSetObject,19667,777
StoreSetObject,26542,865
StoreSetObject,21167,863
StoreSetObject,23583,445
StoreSetObject,205083,8702
StoreDeleteObject,3250,0
StoreDeleteObject,3250,0
StoreDeleteObject,3042,0
StoreDeleteObject,3000,0
StoreDeleteObject,2917,0
StoreDeleteObject,3292,0
StoreDeleteObject,3167,0
StoreDeleteObject,2875,0
StoreDeleteObject,3125,0
StoreDeleteObject,2708,0
StoreDeleteObject,2875,0
StoreDeleteObject,2916,0
StoreDeleteObject,3042,0
StoreDeleteObject,2917,0
StoreDeleteObject,3042,0
StoreDeleteObject,2916,0
StoreDeleteObject,6667,0
StoreDeleteObject,2958,0
StoreDeleteObject,2750,0
StoreDeleteObject,2958,0
StoreDeleteObject,2875,0
StoreDeleteObject,2709,0
StoreSetPackageRealm,6750,77
StoreSetObject,23958,869
StoreSetObject,14334,1381
StoreSetObject,16792,652
StoreSetObject,26416,869
StoreSetObject,21833,869
StoreSetObject,21792,869
StoreSetObject,21875,869
StoreSetObject,26875,867
StoreSetObject,23167,866
StoreSetObject,13208,1380
StoreSetObject,12292,1381
StoreSetObject,15959,1381
StoreSetObject,11917,1381
StoreSetObject,15167,1381
StoreSetObject,12833,1381
StoreSetObject,14500,1381
StoreSetObject,15708,1381
StoreSetObject,12125,1381
StoreSetObject,13459,1381
StoreSetObject,17000,1381
StoreSetObject,12666,1381
StoreSetObject,12584,1381
StoreSetObject,15542,1381
StoreSetObject,12333,1381
StoreSetObject,11500,1381
StoreSetObject,16000,1381
StoreSetObject,12292,1381
StoreSetObject,17750,1381
StoreSetObject,158208,3328
StoreSetObject,26916,447
StoreSetObject,117333,4061
StoreSetObject,17000,440
StoreSetObject,18541,483
StoreSetObject,26416,773
StoreSetObject,19875,437
StoreSetObject,28500,773
StoreSetObject,29416,777
StoreSetObject,31541,865
StoreSetObject,30250,863
StoreSetObject,18708,445
StoreSetObject,369792,8702
StoreDeleteObject,3334,0
StoreDeleteObject,3041,0
StoreDeleteObject,3041,0
StoreDeleteObject,2792,0
StoreDeleteObject,2875,0
StoreDeleteObject,2833,0
StoreDeleteObject,2875,0
StoreDeleteObject,2834,0
StoreDeleteObject,2792,0
StoreDeleteObject,2667,0
StoreDeleteObject,3042,0
StoreDeleteObject,2791,0
StoreDeleteObject,2750,0
StoreDeleteObject,2875,0
StoreDeleteObject,6500,0
StoreDeleteObject,2917,0
StoreDeleteObject,2750,0
StoreDeleteObject,2875,0
StoreDeleteObject,3084,0
StoreDeleteObject,2708,0
StoreDeleteObject,3041,0
StoreDeleteObject,3208,0
StoreDeleteObject,2750,0
StoreDeleteObject,2750,0
StoreSetPackageRealm,6333,77
StoreSetObject,21959,869
StoreSetObject,12375,1381
StoreSetObject,16208,652
StoreSetObject,24334,869
StoreSetObject,20916,869
StoreSetObject,21167,869
StoreSetObject,22667,869
StoreSetObject,25667,867
StoreSetObject,20458,866
StoreSetObject,12625,1380
StoreSetObject,17333,1381
StoreSetObject,12833,1381
StoreSetObject,11667,1381
StoreSetObject,15417,1381
StoreSetObject,12292,1381
StoreSetObject,13375,1381
StoreSetObject,38792,1381
StoreSetObject,12750,1381
StoreSetObject,15000,1381
StoreSetObject,17667,1381
StoreSetObject,12917,1381
StoreSetObject,14917,1381
StoreSetObject,18209,1381
StoreSetObject,15083,1381
StoreSetObject,15084,1381
StoreSetObject,12625,1381
StoreSetObject,12459,1381
StoreSetObject,17000,1381
StoreSetObject,12333,1381
StoreSetObject,73583,3503
StoreSetObject,14083,447
StoreSetObject,89375,4277
StoreSetObject,14000,440
StoreSetObject,14750,483
StoreSetObject,19000,773
StoreSetObject,15875,437
StoreSetObject,19958,773
StoreSetObject,19666,777
StoreSetObject,21542,865
StoreSetObject,21875,863
StoreSetObject,17584,445
StoreSetObject,210500,8702
StoreDeleteObject,3292,0
StoreDeleteObject,2916,0
StoreDeleteObject,2750,0
StoreDeleteObject,2709,0
StoreDeleteObject,2792,0
StoreDeleteObject,2917,0
StoreDeleteObject,2750,0
StoreDeleteObject,2708,0
StoreDeleteObject,2625,0
StoreDeleteObject,2500,0
StoreDeleteObject,2500,0
StoreDeleteObject,2750,0
StoreDeleteObject,2542,0
StoreDeleteObject,24709,0
StoreDeleteObject,5875,0
StoreDeleteObject,3042,0
StoreDeleteObject,2958,0
StoreDeleteObject,2750,0
StoreDeleteObject,2833,0
StoreDeleteObject,2834,0
StoreDeleteObject,2958,0
StoreDeleteObject,2916,0
StoreDeleteObject,2875,0
StoreDeleteObject,2666,0
