BenchmarkOpMul_BigInt_64x1024-2              	 2701912	       426.8 ns/op	         0 alloc-gas/op	       314.2 ns/op(pure)	     208 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64x1024-2              	 2762964	       427.8 ns/op	         0 alloc-gas/op	       315.2 ns/op(pure)	     208 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_64x1024-2              	 2751591	       428.2 ns/op	         0 alloc-gas/op	       315.4 ns/op(pure)	     208 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256x1024-2             	 2400382	       496.5 ns/op	         0 alloc-gas/op	       380.4 ns/op(pure)	     224 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256x1024-2             	 2418366	       499.8 ns/op	         0 alloc-gas/op	       383.2 ns/op(pure)	     224 B/op	       2 allocs/op
BenchmarkOpMul_BigInt_256x1024-2             	 2407689	       489.2 ns/op	         0 alloc-gas/op	       373.2 ns/op(pure)	     224 B/op	       2 allocs/op
BenchmarkOpQuo_Int-2                         	 7037610	       169.3 ns/op	         0 alloc-gas/op	        85.52 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpQuo_Int-2                         	 6997622	       167.5 ns/op	         0 alloc-gas/op	        83.10 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpQuo_Int-2                         	 7012291	       167.9 ns/op	         0 alloc-gas/op	        84.03 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpQuo_Float64-2                     	 4560639	       263.6 ns/op	         0 alloc-gas/op	       174.9 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpQuo_Float64-2                     	 4540552	       264.6 ns/op	         0 alloc-gas/op	       175.7 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpQuo_Float64-2                     	 4554398	       265.6 ns/op	         0 alloc-gas/op	       176.6 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpQuo_BigInt_64-2                   	 3537326	       340.3 ns/op	         0 alloc-gas/op	       250.1 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_64-2                   	 3553623	       333.2 ns/op	         0 alloc-gas/op	       242.6 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_64-2                   	 3524646	       331.6 ns/op	         0 alloc-gas/op	       242.8 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_256-2                  	 1985772	       604.2 ns/op	         0 alloc-gas/op	       506.2 ns/op(pure)	     176 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_256-2                  	 1956086	       595.3 ns/op	         0 alloc-gas/op	       497.7 ns/op(pure)	     176 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_256-2                  	 1979208	       602.0 ns/op	         0 alloc-gas/op	       503.2 ns/op(pure)	     176 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_1024-2                 	 1372447	       869.6 ns/op	         0 alloc-gas/op	       761.9 ns/op(pure)	     320 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_1024-2                 	 1378983	       874.4 ns/op	         0 alloc-gas/op	       766.5 ns/op(pure)	     320 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_1024-2                 	 1362627	       876.2 ns/op	         0 alloc-gas/op	       768.5 ns/op(pure)	     320 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_4096-2                 	  392398	      2700 ns/op	         0 alloc-gas/op	      2572 ns/op(pure)	     928 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_4096-2                 	  387661	      2728 ns/op	         0 alloc-gas/op	      2580 ns/op(pure)	     928 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_4096-2                 	  382456	      2722 ns/op	         0 alloc-gas/op	      2574 ns/op(pure)	     928 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_4096x64-2              	 1223196	       988.6 ns/op	         0 alloc-gas/op	       835.5 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_4096x64-2              	 1215192	       992.1 ns/op	         0 alloc-gas/op	       839.2 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_4096x64-2              	 1218142	       979.3 ns/op	         0 alloc-gas/op	       826.7 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_4096x256-2             	  426751	      2434 ns/op	         0 alloc-gas/op	      2288 ns/op(pure)	    1184 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_4096x256-2             	  431257	      2414 ns/op	         0 alloc-gas/op	      2265 ns/op(pure)	    1184 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_4096x256-2             	  435637	      2394 ns/op	         0 alloc-gas/op	      2249 ns/op(pure)	    1184 B/op	       3 allocs/op
BenchmarkOpQuo_BigInt_1024x64-2              	 2376639	       500.5 ns/op	         0 alloc-gas/op	       390.6 ns/op(pure)	     192 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_1024x64-2              	 2355406	       496.4 ns/op	         0 alloc-gas/op	       387.1 ns/op(pure)	     192 B/op	       2 allocs/op
BenchmarkOpQuo_BigInt_1024x64-2              	 2399373	       496.2 ns/op	         0 alloc-gas/op	       386.6 ns/op(pure)	     192 B/op	       2 allocs/op
BenchmarkOpRem_Int-2                         	 7152727	       167.6 ns/op	         0 alloc-gas/op	        83.33 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpRem_Int-2                         	 7138096	       166.4 ns/op	         0 alloc-gas/op	        82.83 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpRem_Int-2                         	 7180502	       167.7 ns/op	         0 alloc-gas/op	        83.38 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpRem_BigInt_64-2                   	 3489276	       332.5 ns/op	         0 alloc-gas/op	       244.8 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpRem_BigInt_64-2                   	 3387207	       345.2 ns/op	         0 alloc-gas/op	       256.4 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpRem_BigInt_64-2                   	 3350835	       332.1 ns/op	         0 alloc-gas/op	       244.3 ns/op(pure)	      40 B/op	       2 allocs/op
BenchmarkOpRem_BigInt_256-2                  	 2010789	       583.7 ns/op	         0 alloc-gas/op	       490.3 ns/op(pure)	     176 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_256-2                  	 2007061	       592.8 ns/op	         0 alloc-gas/op	       498.0 ns/op(pure)	     176 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_256-2                  	 1962410	       604.3 ns/op	         0 alloc-gas/op	       500.8 ns/op(pure)	     176 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_1024-2                 	 1400730	       854.1 ns/op	         0 alloc-gas/op	       754.6 ns/op(pure)	     320 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_1024-2                 	 1399426	       862.2 ns/op	         0 alloc-gas/op	       762.2 ns/op(pure)	     320 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_1024-2                 	 1391383	       856.0 ns/op	         0 alloc-gas/op	       756.9 ns/op(pure)	     320 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_4096-2                 	  397156	      2671 ns/op	         0 alloc-gas/op	      2568 ns/op(pure)	     928 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_4096-2                 	  405388	      2664 ns/op	         0 alloc-gas/op	      2562 ns/op(pure)	     928 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_4096-2                 	  401542	      2678 ns/op	         0 alloc-gas/op	      2569 ns/op(pure)	     928 B/op	       3 allocs/op
BenchmarkOpRem_BigInt_4096x64-2              	 1262373	       938.1 ns/op	         0 alloc-gas/op	       825.4 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpRem_BigInt_4096x64-2              	 1253434	       950.4 ns/op	         0 alloc-gas/op	       834.7 ns/op(pure)	     608 B/op	       2 allocs/op
