goos: darwin
goarch: arm64
pkg: github.com/gnolang/gno/gnovm/cmd/calibrate
cpu: Apple M2
BenchmarkAlloc_33554432-8     	    2793	    409205 ns/op	33554446 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    3100	    416574 ns/op	33554447 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    3109	    401656 ns/op	33554446 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    2850	    419317 ns/op	33554444 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    2824	    395971 ns/op	33554447 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1502	    752822 ns/op	67108882 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1515	    747560 ns/op	67108881 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1555	    752799 ns/op	67108880 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1546	    777379 ns/op	67108881 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1570	    767151 ns/op	67108881 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     730	   1483613 ns/op	134217746 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     811	   1461950 ns/op	134217746 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     823	   1494548 ns/op	134217745 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     775	   1459152 ns/op	134217746 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     781	   1488429 ns/op	134217748 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     415	   2946214 ns/op	268435472 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     363	   3176465 ns/op	268435470 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     412	   2890529 ns/op	268435473 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     415	   3010303 ns/op	268435474 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     412	   3128154 ns/op	268435470 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     204	   5763787 ns/op	536870934 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     194	   6008289 ns/op	536870926 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     200	   5889979 ns/op	536870925 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     205	   6632753 ns/op	536870926 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     201	   6009178 ns/op	536870926 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	     100	 176669342 ns/op	1073741829 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	      12	 118724844 ns/op	1073741832 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	      21	 102024458 ns/op	1073741828 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	      55	 179237665 ns/op	1073741832 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	       6	 183594028 ns/op	1073741840 B/op	       1 allocs/op
PASS
ok  	github.com/gnolang/gno/gnovm/cmd/calibrate	296.433s
goos: darwin
goarch: arm64
pkg: github.com/gnolang/gno/gnovm/pkg/gnolang
cpu: Apple M2
BenchmarkOpEnterCrossing_1-8      	 4382079	       544.3 ns/op	         0 alloc-gas/op	       503.4 ns/op(pure)
BenchmarkOpEnterCrossing_1-8      	 4394974	       544.1 ns/op	         0 alloc-gas/op	       503.1 ns/op(pure)
BenchmarkOpEnterCrossing_1-8      	 4410666	       544.4 ns/op	         0 alloc-gas/op	       503.5 ns/op(pure)
BenchmarkOpEnterCrossing_10-8     	 4165647	       575.7 ns/op	         0 alloc-gas/op	       534.9 ns/op(pure)
BenchmarkOpEnterCrossing_10-8     	 4162605	       576.6 ns/op	         0 alloc-gas/op	       535.8 ns/op(pure)
BenchmarkOpEnterCrossing_10-8     	 4162598	       575.7 ns/op	         0 alloc-gas/op	       534.9 ns/op(pure)
