goos: linux
goarch: amd64
pkg: alloc_bench
cpu: DO-Regular
BenchmarkAlloc_32-4           	12469234	        93.11 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	17242496	        80.55 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	15506740	        75.28 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	18399429	        79.29 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	15160077	        99.13 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	16678758	        92.49 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	14498358	        92.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	14041735	       100.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	11989689	       103.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	11638702	        90.61 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	10958086	       105.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	13874401	        92.95 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	12678038	        79.98 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	15445064	        80.01 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	14007085	        85.12 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-4           	15553047	        67.55 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	11616750	        87.46 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	18711874	        86.30 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	12912619	        89.36 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	13217985	        92.00 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	14673650	        81.83 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	13804707	        85.61 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16243478	        79.47 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16278099	        91.64 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	12903301	        82.99 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16106307	        77.93 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16731598	        77.86 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	14282516	        72.36 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	14402605	        76.31 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	13860576	        92.53 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	13345576	        77.44 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16531081	        73.19 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16616983	        73.64 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	16352491	        90.49 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	14541315	       106.7 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-4           	12377661	       106.3 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	 9728739	       130.7 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-4           	13231177	       103.5 ns/op	      96 B/op	       1 allocs/op
